series_name,episode,series_ep,season,season_ep,url,user_rating,user_votes,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,assinantes,ano
House of Cards,Chapter 35,35,3,9,http://www.imdb.com/title/tt4083028/,8.5,2401,0.015365449,0.001245847,0.005398671,0.003737542,0.009551495,0.029900332,0.127491694,0.345099668,0.271594684,0.190614618,62.27,2015
House of Cards,Chapter 36,36,3,10,http://www.imdb.com/title/tt4128566/,8.3,2375,0.018939394,0.003367003,0.005050505,0.002946128,0.013468013,0.036616162,0.124158249,0.348063973,0.259259259,0.188131313,62.27,2015
House of Cards,Chapter 37,37,3,11,http://www.imdb.com/title/tt4128572/,9.1,2804,0.013903743,0.001426025,0.002139037,0.001426025,0.003921569,0.022459893,0.04456328,0.132263815,0.326916221,0.450980392,62.27,2015
House of Cards,Chapter 38,38,3,12,http://www.imdb.com/title/tt4128574/,8.9,2530,0.015797788,7.90E-04,0.002764613,0.001579779,0.003554502,0.022116904,0.059241706,0.205766193,0.365323855,0.323064771,62.27,2015
House of Cards,Chapter 39,39,3,13,http://www.imdb.com/title/tt4221826/,9,3307,0.019033233,0.003021148,0.003927492,0.006042296,0.009365559,0.026283988,0.056495468,0.141087613,0.326888218,0.407854985,62.27,2015
House of Cards,Chapter 40,40,4,1,http://www.imdb.com/title/tt4498368/,8.1,2700,0.010740741,0.002592593,0.002962963,0.005185185,0.011111111,0.042222222,0.155925926,0.397037037,0.186666667,0.185555556,81.5,2016
House of Cards,Chapter 41,41,4,2,http://www.imdb.com/title/tt4817660/,8.4,2353,0.010199745,0.002124947,0.002124947,0.002549936,0.008499788,0.031874203,0.112622184,0.355291118,0.29281768,0.181895453,81.5,2016
House of Cards,Chapter 42,42,4,3,http://www.imdb.com/title/tt4817664/,9,2459,0.007726718,0.001626678,0.001626678,0.002033347,0.004066694,0.015860106,0.057340382,0.168767792,0.37901586,0.361935746,81.5,2016
House of Cards,Chapter 43,43,4,4,http://www.imdb.com/title/tt4817670/,9.5,3032,0.00560686,0,0.001649077,6.60E-04,0.002638522,0.008905013,0.02671504,0.078825858,0.23944591,0.63555409,81.5,2016
House of Cards,Chapter 44,44,4,5,http://www.imdb.com/title/tt4949018/,8.6,2176,0.009646302,0.001378043,0.001378043,0.00413413,0.007349564,0.021589343,0.081763895,0.299954065,0.346348186,0.226458429,81.5,2016
House of Cards,Chapter 45,45,4,6,http://www.imdb.com/title/tt4949028/,8.7,2264,0.010600707,8.83E-04,0.002650177,0.003533569,0.008833922,0.020759717,0.076855124,0.229240283,0.367932862,0.278710247,81.5,2016
House of Cards,Chapter 46,46,4,7,http://www.imdb.com/title/tt5025272/,8.6,2132,0.007973734,0.001407129,0.001876173,0.003283302,0.007035647,0.027204503,0.089587242,0.26782364,0.333958724,0.259849906,81.5,2016
House of Cards,Chapter 47,47,4,8,http://www.imdb.com/title/tt5083704/,8.3,2017,0.006535948,4.67E-04,9.34E-04,0.001867414,0.004668534,0.013538749,0.06302521,0.196078431,0.385620915,0.327264239,81.5,2016
House of Cards,Chapter 48,48,4,9,http://www.imdb.com/title/tt5095720/,8.9,2140,0.00842001,9.91E-04,9.91E-04,9.91E-04,0.010401189,0.036651808,0.136206043,0.393263992,0.226844973,0.185240218,81.5,2016
House of Cards,Chapter 49,49,4,10,http://www.imdb.com/title/tt5095730/,9.4,2898,0.007922838,3.44E-04,6.89E-04,3.44E-04,0.006544953,0.00826731,0.033758181,0.085084395,0.224595246,0.63244919,81.5,2016
House of Cards,Chapter 50,50,4,11,http://www.imdb.com/title/tt5095732/,8.5,2048,0.012183236,4.87E-04,0.001461988,0.001949318,0.009746589,0.033625731,0.096491228,0.314814815,0.296296296,0.23294347,81.5,2016
House of Cards,Chapter 51,51,4,12,http://www.imdb.com/title/tt5095742/,8.9,2139,0.007932804,0.001866542,0.002333178,0.003266449,0.006532898,0.023798413,0.052729818,0.173121792,0.380307979,0.348110126,81.5,2016
House of Cards,Chapter 52,52,4,13,http://www.imdb.com/title/tt5095748/,9.6,4444,0.008316476,6.74E-04,0.001348618,0.002472466,0.003146775,0.008990784,0.018880647,0.050348393,0.158462576,0.747358957,81.5,2016
